sex,race_eth,age_group,year,population
female,black,40-44,2002,188558.54756547202
female,black,40-44,2003,191190.662836868
female,black,40-44,2004,191667.18057395204
female,black,40-44,2005,190610.81130415096
female,black,40-44,2006,188040.794989336
female,black,40-44,2007,184197.61008672696
female,black,40-44,2008,179104.516489267
female,black,40-44,2009,167483.779979372
female,black,40-44,2010,242911.48277766403
female,black,40-44,2011,79924
female,black,40-44,2012,78692
female,black,40-44,2013,77286
female,black,40-44,2014,75586
female,black,40-44,2015,73683
female,black,40-44,2016,71590
female,black,40-44,2017,69890
female,black,40-44,2018,68833
female,black,40-44,2019,68638
female,black,40-44,2020,66089
female,black,45-49,2000,298409.187571374
female,black,45-49,2001,152941.374255914
female,black,45-49,2002,157615.68251639098
female,black,45-49,2003,163017.045970296
female,black,45-49,2004,168104.989407303
female,black,45-49,2005,172255.00706587598
female,black,45-49,2006,176443.55180573097
female,black,45-49,2007,179997.970560006
female,black,45-49,2008,182351.223178952
female,black,45-49,2009,180981.53960804798
female,black,45-49,2010,267788.616998721
female,black,45-49,2011,87618
female,black,45-49,2012,86135
female,black,45-49,2013,84188
female,black,45-49,2014,82212
female,black,45-49,2015,80367
female,black,45-49,2016,78723
female,black,45-49,2017,77250
female,black,45-49,2018,75625
female,black,45-49,2019,73311
female,black,45-49,2020,68609
female,black,50-54,2000,237528.38347926698
female,black,50-54,2001,127210.65508579001
female,black,50-54,2002,133544.43644834
female,black,50-54,2003,137821.263261255
female,black,50-54,2004,140952.40023781604
female,black,50-54,2005,143171.620951295
female,black,50-54,2006,145881.293006144
female,black,50-54,2007,149562.232750521
female,black,50-54,2008,153766.395063503
female,black,50-54,2009,161711.994788496
female,black,50-54,2010,246058.56260617
female,black,50-54,2011,84557
female,black,50-54,2012,85854
female,black,50-54,2013,86478
female,black,50-54,2014,86545
female,black,50-54,2015,85993
female,black,50-54,2016,84896
female,black,50-54,2017,83345
female,black,50-54,2018,81236
female,black,50-54,2019,78816
female,black,50-54,2020,73744
female,black,55-59,2000,183799.30332462105
female,black,55-59,2001,93893.40557217899
female,black,55-59,2002,96685.557820742
female,black,55-59,2003,100998.19409366799
female,black,55-59,2004,105740.76490177301
female,black,55-59,2005,110855.919175764
female,black,55-59,2006,116892.62972067799
female,black,55-59,2007,122930.94117593498
female,black,55-59,2008,127794.328661431
female,black,55-59,2009,132555.684690064
female,black,55-59,2010,200434.367439136
female,black,55-59,2011,69568
female,black,55-59,2012,71771
female,black,55-59,2013,74004
female,black,55-59,2014,76326
female,black,55-59,2015,78295
female,black,55-59,2016,80028
female,black,55-59,2017,81462
female,black,55-59,2018,82092
female,black,55-59,2019,81738
female,black,55-59,2020,78704
female,black,60-64,2000,151303.58873645
female,black,60-64,2001,77428.525548425
female,black,60-64,2002,78915.334463412
female,black,60-64,2003,80964.41610782301
female,black,60-64,2004,83129.188068099
female,black,60-64,2005,85115.78873412899
female,black,60-64,2006,86671.56463404902
female,black,60-64,2007,88611.34421652
female,black,60-64,2008,91134.52599250399
female,black,60-64,2009,99561.968119546
female,black,60-64,2010,154346.781665974
female,black,60-64,2011,55191
female,black,60-64,2012,57518
female,black,60-64,2013,59170
female,black,60-64,2014,60540
female,black,60-64,2015,62025
female,black,60-64,2016,63617
female,black,60-64,2017,65583
female,black,60-64,2018,67785
female,black,60-64,2019,69860
female,black,60-64,2020,69233
female,black,65-69,2000,121311.56564119301
female,black,65-69,2001,62296.94999138301
female,black,65-69,2002,63905.171046516
female,black,65-69,2003,65686.425846832
female,black,65-69,2004,67100.9409861
female,black,65-69,2005,68258.38708250901
female,black,65-69,2006,69556.744061523
female,black,65-69,2007,70780.294568092
female,black,65-69,2008,72246.735397009
female,black,65-69,2009,76001.414599114
female,black,65-69,2010,115720.10742600399
female,black,65-69,2011,39844
female,black,65-69,2012,40971
female,black,65-69,2013,42370
female,black,65-69,2014,44214
female,black,65-69,2015,46334
female,black,65-69,2016,48578
female,black,65-69,2017,50845
female,black,65-69,2018,52698
female,black,65-69,2019,54196
female,black,65-69,2020,54007
female,black,70-74,2000,101512.924243323
female,black,70-74,2001,51228.536712336994
female,black,70-74,2002,51074.506869738005
female,black,70-74,2003,51042.885698888
female,black,70-74,2004,51717.23988682799
female,black,70-74,2005,52598.08779381
female,black,70-74,2006,53568.690521845
female,black,70-74,2007,54784.581693199994
female,black,70-74,2008,56190.532406016
female,black,70-74,2009,58405.15356682601
female,black,70-74,2010,88954.908212353
female,black,70-74,2011,30595
