"","year","sex","age_group","cod","race_eth","deaths"
"137",2000,"male","20-24","all_cause","hispanic",582
"138",2000,"male","20-24","all_cause","white",482
"139",2000,"female","25-29","all_cause","black",75
"140",2000,"female","25-29","all_cause","hispanic",161
"141",2000,"female","25-29","all_cause","white",193
"142",2000,"male","25-29","all_cause","black",206
"143",2000,"male","25-29","all_cause","hispanic",518
"144",2000,"male","25-29","all_cause","white",512
"145",2000,"female","30-34","all_cause","black",89
"146",2000,"female","30-34","all_cause","hispanic",187
"147",2000,"female","30-34","all_cause","white",334
"148",2000,"male","30-34","all_cause","black",231
"149",2000,"male","30-34","all_cause","hispanic",617
"150",2000,"male","30-34","all_cause","white",773
"151",2000,"female","35-39","all_cause","black",186
"152",2000,"female","35-39","all_cause","hispanic",311
"153",2000,"female","35-39","all_cause","white",655
"154",2000,"male","35-39","all_cause","black",307
"155",2000,"male","35-39","all_cause","hispanic",700
"156",2000,"male","35-39","all_cause","white",1280
"157",2000,"female","40-44","all_cause","black",319
"158",2000,"female","40-44","all_cause","hispanic",417
"159",2000,"female","40-44","all_cause","white",1144
"160",2000,"male","40-44","all_cause","black",472
"161",2000,"male","40-44","all_cause","hispanic",836
"162",2000,"male","40-44","all_cause","white",1971
"163",2000,"female","45-49","all_cause","black",403
"164",2000,"female","45-49","all_cause","hispanic",464
"165",2000,"female","45-49","all_cause","white",1518
"166",2000,"male","45-49","all_cause","black",590
"167",2000,"male","45-49","all_cause","hispanic",961
"168",2000,"male","45-49","all_cause","white",2763
"169",2000,"female","5-9","all_cause","black",23
"170",2000,"female","5-9","all_cause","hispanic",79
"171",2000,"female","5-9","all_cause","white",58
"172",2000,"male","5-9","all_cause","black",26
"173",2000,"male","5-9","all_cause","hispanic",94
"174",2000,"male","5-9","all_cause","white",61
"175",2000,"female","50-54","all_cause","black",460
"176",2000,"female","50-54","all_cause","hispanic",538
"177",2000,"female","50-54","all_cause","white",2218
"178",2000,"male","50-54","all_cause","black",665
"179",2000,"male","50-54","all_cause","hispanic",909
"180",2000,"male","50-54","all_cause","white",3580
"181",2000,"female","55-59","all_cause","black",537
"182",2000,"female","55-59","all_cause","hispanic",625
"183",2000,"female","55-59","all_cause","white",2688
"184",2000,"male","55-59","all_cause","black",694
"185",2000,"male","55-59","all_cause","hispanic",938
"186",2000,"male","55-59","all_cause","white",4097
"187",2000,"female","60-64","all_cause","black",598
"188",2000,"female","60-64","all_cause","hispanic",765
"189",2000,"female","60-64","all_cause","white",3419
"190",2000,"male","60-64","all_cause","black",756
"191",2000,"male","60-64","all_cause","hispanic",1114
"192",2000,"male","60-64","all_cause","white",4766
"193",2000,"female","65-69","all_cause","black",728
"194",2000,"female","65-69","all_cause","hispanic",977
"195",2000,"female","65-69","all_cause","white",4962
"196",2000,"male","65-69","all_cause","black",862
"197",2000,"male","65-69","all_cause","hispanic",1238
"198",2000,"male","65-69","all_cause","white",6389
"199",2000,"female","70-74","all_cause","black",826
"200",2000,"female","70-74","all_cause","hispanic",1321
"201",2000,"female","70-74","all_cause","white",7751
"202",2000,"male","70-74","all_cause","black",976
"203",2000,"male","70-74","all_cause","hispanic",1681
"204",2000,"male","70-74","all_cause","white",9346
"205",2000,"female","75-79","all_cause","black",1007
"206",2000,"female","75-79","all_cause","hispanic",1469
"207",2000,"female","75-79","all_cause","white",12283
"208",2000,"male","75-79","all_cause","black",1003
"209",2000,"male","75-79","all_cause","hispanic",1616
"210",2000,"male","75-79","all_cause","white",12712
"211",2000,"female","80-84","all_cause","black",1009
"212",2000,"female","80-84","all_cause","hispanic",1410
"213",2000,"female","80-84","all_cause","white",14614
"214",2000,"male","80-84","all_cause","black",776
"215",2000,"male","80-84","all_cause","hispanic",1214
"216",2000,"male","80-84","all_cause","white",13251
"217",2000,"female","85-89","all_cause","black",937
"218",2000,"female","85-89","all_cause","hispanic",1327
"219",2000,"female","85-89","all_cause","white",15482
"220",2000,"male","85-89","all_cause","black",551
"221",2000,"male","85-89","all_cause","hispanic",864
"222",2000,"male","85-89","all_cause","white",10596
"223",2000,"female","90+","all_cause","black",969
"224",2000,"female","90+","all_cause","hispanic",1468
"225",2000,"female","90+","all_cause","white",18295
"226",2000,"male","90+","all_cause","black",375
"227",2000,"male","90+","all_cause","hispanic",739
"228",2000,"male","90+","all_cause","white",7139
"229",2001,"female","0-4","all_cause","black",235
"230",2001,"female","0-4","all_cause","hispanic",697
"231",2001,"female","0-4","all_cause","white",438
"232",2001,"male","0-4","all_cause","black",256
"233",2001,"male","0-4","all_cause","hispanic",861
"234",2001,"male","0-4","all_cause","white",579
"235",2001,"female","10-14","all_cause","black",19
"236",2001,"female","10-14","all_cause","hispanic",77
"237",2001,"female","10-14","all_cause","white",64
"238",2001,"male","10-14","all_cause","black",33
"239",2001,"male","10-14","all_cause","hispanic",77
"240",2001,"male","10-14","all_cause","white",98
"241",2001,"female","15-19","all_cause","black",39
"242",2001,"female","15-19","all_cause","hispanic",126
"243",2001,"female","15-19","all_cause","white",163
"244",2001,"male","15-19","all_cause","black",144
"245",2001,"male","15-19","all_cause","hispanic",482
"246",2001,"male","15-19","all_cause","white",365
"247",2001,"female","20-24","all_cause","black",47
"248",2001,"female","20-24","all_cause","hispanic",176
"249",2001,"female","20-24","all_cause","white",198
"250",2001,"male","20-24","all_cause","black",221
"251",2001,"male","20-24","all_cause","hispanic",679
"252",2001,"male","20-24","all_cause","white",523
"253",2001,"female","25-29","all_cause","black",88
"254",2001,"female","25-29","all_cause","hispanic",175
"255",2001,"female","25-29","all_cause","white",193
"256",2001,"male","25-29","all_cause","black",205
"257",2001,"male","25-29","all_cause","hispanic",578
"258",2001,"male","25-29","all_cause","white",551
"259",2001,"female","30-34","all_cause","black",111
