"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"15-19 years","15-19","2010","2010","Female","F","Black or African American","2054-5",10,100376,Unreliable
,"15-19 years","15-19","2010","2010","Male","M","Black or African American","2054-5",85,106021,80.2
,"15-19 years","15-19","2010","2010","Male","M","White","2106-3",16,466650,Unreliable
,"15-19 years","15-19","2011","2011","Male","M","Black or African American","2054-5",72,101802,70.7
,"15-19 years","15-19","2011","2011","Male","M","White","2106-3",10,444469,Unreliable
,"15-19 years","15-19","2012","2012","Male","M","Black or African American","2054-5",61,98285,62.1
,"15-19 years","15-19","2012","2012","Male","M","White","2106-3",14,433209,Unreliable
,"15-19 years","15-19","2013","2013","Male","M","Black or African American","2054-5",60,94980,63.2
,"15-19 years","15-19","2013","2013","Male","M","White","2106-3",17,420409,Unreliable
,"15-19 years","15-19","2014","2014","Male","M","Black or African American","2054-5",42,92466,45.4
,"15-19 years","15-19","2015","2015","Male","M","Black or African American","2054-5",47,90107,52.2
,"15-19 years","15-19","2015","2015","Male","M","White","2106-3",17,402461,Unreliable
,"15-19 years","15-19","2016","2016","Male","M","Black or African American","2054-5",55,87565,62.8
,"15-19 years","15-19","2017","2017","Male","M","Black or African American","2054-5",44,85555,51.4
,"15-19 years","15-19","2017","2017","Male","M","White","2106-3",14,385714,Unreliable
,"20-24 years","20-24","1999","1999","Female","F","Black or African American","2054-5",12,76684,Unreliable
,"20-24 years","20-24","1999","1999","Female","F","White","2106-3",11,414223,Unreliable
,"20-24 years","20-24","1999","1999","Male","M","Black or African American","2054-5",106,79726,133.0
,"20-24 years","20-24","1999","1999","Male","M","White","2106-3",41,445516,9.2
,"20-24 years","20-24","2000","2000","Female","F","Black or African American","2054-5",10,79386,Unreliable
,"20-24 years","20-24","2000","2000","Male","M","Black or African American","2054-5",119,81576,145.9
,"20-24 years","20-24","2000","2000","Male","M","White","2106-3",34,455393,7.5
,"20-24 years","20-24","2001","2001","Female","F","Black or African American","2054-5",10,82128,Unreliable
,"20-24 years","20-24","2001","2001","Female","F","White","2106-3",20,454736,4.4
,"20-24 years","20-24","2001","2001","Male","M","Black or African American","2054-5",137,85657,159.9
,"20-24 years","20-24","2001","2001","Male","M","White","2106-3",43,481743,8.9
,"20-24 years","20-24","2002","2002","Female","F","Black or African American","2054-5",15,83552,Unreliable
,"20-24 years","20-24","2002","2002","Female","F","White","2106-3",12,465698,Unreliable
,"20-24 years","20-24","2002","2002","Male","M","Black or African American","2054-5",164,87604,187.2
,"20-24 years","20-24","2002","2002","Male","M","White","2106-3",44,491070,9.0
,"20-24 years","20-24","2003","2003","Female","F","Black or African American","2054-5",16,84392,Unreliable
,"20-24 years","20-24","2003","2003","Male","M","Black or African American","2054-5",143,87741,163.0
,"20-24 years","20-24","2003","2003","Male","M","White","2106-3",47,489737,9.6
,"20-24 years","20-24","2004","2004","Female","F","Black or African American","2054-5",13,84445,Unreliable
,"20-24 years","20-24","2004","2004","Female","F","White","2106-3",11,475637,Unreliable
,"20-24 years","20-24","2004","2004","Male","M","Black or African American","2054-5",139,89363,155.5
,"20-24 years","20-24","2004","2004","Male","M","White","2106-3",43,497681,8.6
,"20-24 years","20-24","2005","2005","Female","F","Black or African American","2054-5",11,84039,Unreliable
,"20-24 years","20-24","2005","2005","Female","F","White","2106-3",11,471736,Unreliable
,"20-24 years","20-24","2005","2005","Male","M","Black or African American","2054-5",152,90931,167.2
,"20-24 years","20-24","2005","2005","Male","M","White","2106-3",43,503706,8.5
,"20-24 years","20-24","2006","2006","Female","F","Black or African American","2054-5",12,84898,Unreliable
,"20-24 years","20-24","2006","2006","Female","F","White","2106-3",15,465815,Unreliable
,"20-24 years","20-24","2006","2006","Male","M","Black or African American","2054-5",139,91804,151.4
,"20-24 years","20-24","2006","2006","Male","M","White","2106-3",39,501186,7.8
,"20-24 years","20-24","2007","2007","Female","F","Black or African American","2054-5",11,85698,Unreliable
,"20-24 years","20-24","2007","2007","Male","M","Black or African American","2054-5",123,92871,132.4
,"20-24 years","20-24","2007","2007","Male","M","White","2106-3",37,505074,7.3
,"20-24 years","20-24","2008","2008","Male","M","Black or African American","2054-5",120,94003,127.7
,"20-24 years","20-24","2008","2008","Male","M","White","2106-3",28,503998,5.6
,"20-24 years","20-24","2009","2009","Female","F","Black or African American","2054-5",11,90292,Unreliable
,"20-24 years","20-24","2009","2009","Male","M","Black or African American","2054-5",113,95816,117.9
,"20-24 years","20-24","2009","2009","Male","M","White","2106-3",35,504641,6.9
,"20-24 years","20-24","2010","2010","Female","F","White","2106-3",10,464787,Unreliable
