"Notes","Year","Year Code","Race","Race Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"1999","1999","White","2106-3","Female","F","75-79 years","75-79",12207,328788,3712.7
,"1999","1999","White","2106-3","Female","F","80-84 years","80-84",14547,233068,6241.5
,"1999","1999","White","2106-3","Female","F","85-89 years","85-89",15547,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Female","F","90-94 years","90-94",11772,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Female","F","95-99 years","95-99",5262,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Female","F","100+ years","100+",1209,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Male","M","< 1 year","1",461,85860,536.9
,"1999","1999","White","2106-3","Male","M","1-4 years","1-4",108,365309,29.6
,"1999","1999","White","2106-3","Male","M","5-9 years","5-9",70,521065,13.4
,"1999","1999","White","2106-3","Male","M","10-14 years","10-14",113,513822,22.0
,"1999","1999","White","2106-3","Male","M","15-19 years","15-19",321,489162,65.6
,"1999","1999","White","2106-3","Male","M","20-24 years","20-24",476,445516,106.8
,"1999","1999","White","2106-3","Male","M","25-29 years","25-29",504,517676,97.4
,"1999","1999","White","2106-3","Male","M","30-34 years","30-34",802,606405,132.3
,"1999","1999","White","2106-3","Male","M","35-39 years","35-39",1334,721168,185.0
,"1999","1999","White","2106-3","Male","M","40-44 years","40-44",1991,721199,276.1
,"1999","1999","White","2106-3","Male","M","45-49 years","45-49",2831,655996,431.6
,"1999","1999","White","2106-3","Male","M","50-54 years","50-54",3436,592783,579.6
,"1999","1999","White","2106-3","Male","M","55-59 years","55-59",3974,443186,896.7
,"1999","1999","White","2106-3","Male","M","60-64 years ","60-64",4801,344592,1393.2
,"1999","1999","White","2106-3","Male","M","65-69 years","65-69",6721,306327,2194.1
,"1999","1999","White","2106-3","Male","M","70-74 years","70-74",9959,279317,3565.5
,"1999","1999","White","2106-3","Male","M","75-79 years","75-79",12900,240853,5356.0
,"1999","1999","White","2106-3","Male","M","80-84 years","80-84",13255,150754,8792.5
