"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"15-19 years","15-19","2006","2006","Male","M","Black or African American","2054-5",12,108841,Unreliable
,"15-19 years","15-19","2006","2006","Male","M","White","2106-3",51,507695,10.0
,"15-19 years","15-19","2007","2007","Female","F","White","2106-3",19,469801,Unreliable
,"15-19 years","15-19","2007","2007","Male","M","Black or African American","2054-5",11,109683,Unreliable
,"15-19 years","15-19","2007","2007","Male","M","White","2106-3",54,503109,10.7
,"15-19 years","15-19","2008","2008","Female","F","White","2106-3",14,460223,Unreliable
,"15-19 years","15-19","2008","2008","Male","M","Black or African American","2054-5",10,109493,Unreliable
,"15-19 years","15-19","2008","2008","Male","M","White","2106-3",54,493734,10.9
,"15-19 years","15-19","2009","2009","Female","F","White","2106-3",23,447543,5.1
,"15-19 years","15-19","2009","2009","Male","M","White","2106-3",66,481070,13.7
,"15-19 years","15-19","2010","2010","Female","F","White","2106-3",16,435743,Unreliable
,"15-19 years","15-19","2010","2010","Male","M","Black or African American","2054-5",14,106021,Unreliable
,"15-19 years","15-19","2010","2010","Male","M","White","2106-3",60,466650,12.9
,"15-19 years","15-19","2011","2011","Female","F","White","2106-3",15,412410,Unreliable
,"15-19 years","15-19","2011","2011","Male","M","Black or African American","2054-5",10,101802,Unreliable
,"15-19 years","15-19","2011","2011","Male","M","White","2106-3",52,444469,11.7
,"15-19 years","15-19","2012","2012","Female","F","White","2106-3",13,403650,Unreliable
,"15-19 years","15-19","2012","2012","Male","M","White","2106-3",46,433209,10.6
,"15-19 years","15-19","2013","2013","Female","F","White","2106-3",15,392948,Unreliable
,"15-19 years","15-19","2013","2013","Male","M","White","2106-3",38,420409,9.0
,"15-19 years","15-19","2014","2014","Female","F","White","2106-3",12,384771,Unreliable
,"15-19 years","15-19","2014","2014","Male","M","White","2106-3",46,410174,11.2
,"15-19 years","15-19","2015","2015","Female","F","White","2106-3",11,377612,Unreliable
,"15-19 years","15-19","2015","2015","Male","M","Black or African American","2054-5",10,90107,Unreliable
,"15-19 years","15-19","2015","2015","Male","M","White","2106-3",28,402461,7.0
,"15-19 years","15-19","2016","2016","Female","F","White","2106-3",11,371459,Unreliable
,"15-19 years","15-19","2016","2016","Male","M","White","2106-3",34,394080,8.6
,"15-19 years","15-19","2017","2017","Male","M","White","2106-3",27,385714,7.0
,"20-24 years","20-24","1999","1999","Female","F","White","2106-3",30,414223,7.2
,"20-24 years","20-24","1999","1999","Male","M","Black or African American","2054-5",13,79726,Unreliable
,"20-24 years","20-24","1999","1999","Male","M","White","2106-3",95,445516,21.3
,"20-24 years","20-24","2000","2000","Female","F","White","2106-3",16,428446,Unreliable
,"20-24 years","20-24","2000","2000","Male","M","Black or African American","2054-5",12,81576,Unreliable
,"20-24 years","20-24","2000","2000","Male","M","White","2106-3",66,455393,14.5
,"20-24 years","20-24","2001","2001","Male","M","Black or African American","2054-5",14,85657,Unreliable
,"20-24 years","20-24","2001","2001","Male","M","White","2106-3",68,481743,14.1
,"20-24 years","20-24","2002","2002","Female","F","White","2106-3",23,465698,4.9
,"20-24 years","20-24","2002","2002","Male","M","Black or African American","2054-5",13,87604,Unreliable
,"20-24 years","20-24","2002","2002","Male","M","White","2106-3",101,491070,20.6
,"20-24 years","20-24","2003","2003","Female","F","White","2106-3",20,473605,4.2
,"20-24 years","20-24","2003","2003","Male","M","Black or African American","2054-5",12,87741,Unreliable
,"20-24 years","20-24","2003","2003","Male","M","White","2106-3",106,489737,21.6
,"20-24 years","20-24","2004","2004","Female","F","White","2106-3",24,475637,5.0
,"20-24 years","20-24","2004","2004","Male","M","Black or African American","2054-5",12,89363,Unreliable
,"20-24 years","20-24","2004","2004","Male","M","White","2106-3",113,497681,22.7
,"20-24 years","20-24","2005","2005","Female","F","White","2106-3",22,471736,4.7
,"20-24 years","20-24","2005","2005","Male","M","Black or African American","2054-5",19,90931,Unreliable
,"20-24 years","20-24","2005","2005","Male","M","White","2106-3",119,503706,23.6
,"20-24 years","20-24","2006","2006","Female","F","White","2106-3",21,465815,4.5
,"20-24 years","20-24","2006","2006","Male","M","Black or African American","2054-5",14,91804,Unreliable
,"20-24 years","20-24","2006","2006","Male","M","White","2106-3",116,501186,23.1
,"20-24 years","20-24","2007","2007","Female","F","White","2106-3",38,465442,8.2
,"20-24 years","20-24","2007","2007","Male","M","Black or African American","2054-5",17,92871,Unreliable
,"20-24 years","20-24","2007","2007","Male","M","White","2106-3",131,505074,25.9
,"20-24 years","20-24","2008","2008","Female","F","White","2106-3",35,465051,7.5
,"20-24 years","20-24","2008","2008","Male","M","Black or African American","2054-5",12,94003,Unreliable
,"20-24 years","20-24","2008","2008","Male","M","White","2106-3",164,503998,32.5
,"20-24 years","20-24","2009","2009","Female","F","White","2106-3",40,465433,8.6
