"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"20-24 years","20-24","1999","1999","Male","M",77,529882,14.5
,"20-24 years","20-24","2000","2000","Male","M",64,551509,11.6
,"20-24 years","20-24","2001","2001","Male","M",52,568662,9.1
,"20-24 years","20-24","2002","2002","Male","M",63,582698,10.8
,"20-24 years","20-24","2003","2003","Female","F",12,510927,Unreliable
,"20-24 years","20-24","2003","2003","Male","M",89,592385,15.0
,"20-24 years","20-24","2004","2004","Female","F",16,519373,Unreliable
,"20-24 years","20-24","2004","2004","Male","M",79,600408,13.2
,"20-24 years","20-24","2005","2005","Male","M",107,603262,17.7
,"20-24 years","20-24","2006","2006","Female","F",12,527964,Unreliable
,"20-24 years","20-24","2006","2006","Male","M",92,605268,15.2
,"20-24 years","20-24","2007","2007","Male","M",85,607338,14.0
,"20-24 years","20-24","2008","2008","Male","M",81,615020,13.2
,"20-24 years","20-24","2009","2009","Female","F",16,558413,Unreliable
,"20-24 years","20-24","2009","2009","Male","M",91,626773,14.5
,"20-24 years","20-24","2010","2010","Male","M",77,641028,12.0
,"20-24 years","20-24","2011","2011","Female","F",18,605278,Unreliable
,"20-24 years","20-24","2011","2011","Male","M",81,666050,12.2
,"20-24 years","20-24","2012","2012","Female","F",20,625420,3.2
,"20-24 years","20-24","2012","2012","Male","M",74,680781,10.9
,"20-24 years","20-24","2013","2013","Female","F",25,639936,3.9
,"20-24 years","20-24","2013","2013","Male","M",95,691807,13.7
,"20-24 years","20-24","2014","2014","Female","F",20,656849,3.0
,"20-24 years","20-24","2014","2014","Male","M",79,698054,11.3
,"20-24 years","20-24","2015","2015","Female","F",21,658092,3.2
,"20-24 years","20-24","2015","2015","Male","M",94,695482,13.5
,"20-24 years","20-24","2016","2016","Female","F",26,651723,4.0
,"20-24 years","20-24","2016","2016","Male","M",108,686006,15.7
,"20-24 years","20-24","2017","2017","Female","F",24,649075,3.7
,"20-24 years","20-24","2017","2017","Male","M",114,678018,16.8
,"25-29 years","25-29","1999","1999","Female","F",13,477940,Unreliable
,"25-29 years","25-29","1999","1999","Male","M",92,554152,16.6
,"25-29 years","25-29","2000","2000","Female","F",14,489376,Unreliable
,"25-29 years","25-29","2000","2000","Male","M",58,554421,10.5
,"25-29 years","25-29","2001","2001","Female","F",12,497102,Unreliable
,"25-29 years","25-29","2001","2001","Male","M",59,558149,10.6
,"25-29 years","25-29","2002","2002","Male","M",74,561368,13.2
,"25-29 years","25-29","2003","2003","Male","M",67,566120,11.8
,"25-29 years","25-29","2004","2004","Male","M",91,571862,15.9
,"25-29 years","25-29","2005","2005","Female","F",19,519368,Unreliable
,"25-29 years","25-29","2005","2005","Male","M",94,580808,16.2
,"25-29 years","25-29","2006","2006","Female","F",22,527272,4.2
,"25-29 years","25-29","2006","2006","Male","M",96,588931,16.3
,"25-29 years","25-29","2007","2007","Female","F",16,535851,Unreliable
,"25-29 years","25-29","2007","2007","Male","M",93,597093,15.6
,"25-29 years","25-29","2008","2008","Female","F",17,545878,Unreliable
,"25-29 years","25-29","2008","2008","Male","M",105,605018,17.4
,"25-29 years","25-29","2009","2009","Female","F",16,554306,Unreliable
,"25-29 years","25-29","2009","2009","Male","M",94,609737,15.4
,"25-29 years","25-29","2010","2010","Female","F",20,558578,3.6
,"25-29 years","25-29","2010","2010","Male","M",82,611480,13.4
,"25-29 years","25-29","2011","2011","Female","F",10,561015,Unreliable
,"25-29 years","25-29","2011","2011","Male","M",90,623033,14.4
,"25-29 years","25-29","2012","2012","Female","F",11,558819,Unreliable
,"25-29 years","25-29","2012","2012","Male","M",95,623463,15.2
,"25-29 years","25-29","2013","2013","Female","F",21,565454,3.7
,"25-29 years","25-29","2013","2013","Male","M",108,631960,17.1
,"25-29 years","25-29","2014","2014","Female","F",24,580211,4.1
,"25-29 years","25-29","2014","2014","Male","M",98,635703,15.4
,"25-29 years","25-29","2015","2015","Female","F",20,595938,3.4
,"25-29 years","25-29","2015","2015","Male","M",97,647910,15.0
,"25-29 years","25-29","2016","2016","Female","F",20,614214,3.3
,"25-29 years","25-29","2016","2016","Male","M",122,662625,18.4
,"25-29 years","25-29","2017","2017","Female","F",34,634670,5.4
,"25-29 years","25-29","2017","2017","Male","M",169,687255,24.6
,"30-34 years","30-34","1999","1999","Female","F",15,461268,Unreliable
,"30-34 years","30-34","1999","1999","Male","M",117,528305,22.1
,"30-34 years","30-34","2000","2000","Male","M",90,529296,17.0
,"30-34 years","30-34","2001","2001","Male","M",71,541981,13.1
,"30-34 years","30-34","2002","2002","Female","F",16,495222,Unreliable
,"30-34 years","30-34","2002","2002","Male","M",82,549750,14.9
,"30-34 years","30-34","2003","2003","Female","F",15,506202,Unreliable
,"30-34 years","30-34","2003","2003","Male","M",96,553869,17.3
,"30-34 years","30-34","2004","2004","Female","F",15,513741,Unreliable
,"30-34 years","30-34","2004","2004","Male","M",84,554203,15.2
,"30-34 years","30-34","2005","2005","Female","F",16,516441,Unreliable
,"30-34 years","30-34","2005","2005","Male","M",97,549995,17.6
,"30-34 years","30-34","2006","2006","Female","F",17,518177,Unreliable
,"30-34 years","30-34","2006","2006","Male","M",114,547752,20.8
,"30-34 years","30-34","2007","2007","Female","F",16,520005,Unreliable
,"30-34 years","30-34","2007","2007","Male","M",92,547857,16.8
