"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"20-24 years","20-24","2008","2008","Female","F","White","2106-3",27,465051,5.8
,"20-24 years","20-24","2008","2008","Male","M","Black or African American","2054-5",16,94003,Unreliable
,"20-24 years","20-24","2008","2008","Male","M","White","2106-3",107,503998,21.2
,"20-24 years","20-24","2009","2009","Female","F","White","2106-3",22,465433,4.7
,"20-24 years","20-24","2009","2009","Male","M","Black or African American","2054-5",14,95816,Unreliable
,"20-24 years","20-24","2009","2009","Male","M","White","2106-3",96,504641,19.0
,"20-24 years","20-24","2010","2010","Female","F","White","2106-3",21,464787,4.5
,"20-24 years","20-24","2010","2010","Male","M","Black or African American","2054-5",17,97568,Unreliable
,"20-24 years","20-24","2010","2010","Male","M","White","2106-3",101,504159,20.0
,"20-24 years","20-24","2011","2011","Female","F","White","2106-3",25,474883,5.3
,"20-24 years","20-24","2011","2011","Male","M","Black or African American","2054-5",17,104082,Unreliable
,"20-24 years","20-24","2011","2011","Male","M","White","2106-3",95,513984,18.5
,"20-24 years","20-24","2012","2012","Female","F","White","2106-3",23,476602,4.8
,"20-24 years","20-24","2012","2012","Male","M","Black or African American","2054-5",19,107850,Unreliable
,"20-24 years","20-24","2012","2012","Male","M","White","2106-3",100,515994,19.4
,"20-24 years","20-24","2013","2013","Female","F","White","2106-3",32,467462,6.8
,"20-24 years","20-24","2013","2013","Male","M","Black or African American","2054-5",20,108940,18.4
,"20-24 years","20-24","2013","2013","Male","M","White","2106-3",111,508760,21.8
,"20-24 years","20-24","2014","2014","Female","F","White","2106-3",20,455264,4.4
,"20-24 years","20-24","2014","2014","Male","M","Black or African American","2054-5",13,110396,Unreliable
,"20-24 years","20-24","2014","2014","Male","M","White","2106-3",104,498771,20.9
,"20-24 years","20-24","2015","2015","Female","F","White","2106-3",28,436788,6.4
,"20-24 years","20-24","2015","2015","Male","M","Black or African American","2054-5",13,109089,Unreliable
,"20-24 years","20-24","2015","2015","Male","M","White","2106-3",100,483006,20.7
,"20-24 years","20-24","2016","2016","Female","F","White","2106-3",27,416039,6.5
,"20-24 years","20-24","2016","2016","Male","M","Black or African American","2054-5",22,104443,21.1
,"20-24 years","20-24","2016","2016","Male","M","White","2106-3",103,463658,22.2
,"20-24 years","20-24","2017","2017","Female","F","White","2106-3",23,402717,5.7
,"20-24 years","20-24","2017","2017","Male","M","Black or African American","2054-5",20,101209,19.8
,"20-24 years","20-24","2017","2017","Male","M","White","2106-3",98,445513,22.0
,"25-29 years","25-29","1999","1999","Female","F","White","2106-3",28,495743,5.6
,"25-29 years","25-29","1999","1999","Male","M","Black or African American","2054-5",17,81895,Unreliable
,"25-29 years","25-29","1999","1999","Male","M","White","2106-3",94,517676,18.2
,"25-29 years","25-29","2000","2000","Female","F","White","2106-3",22,479018,4.6
,"25-29 years","25-29","2000","2000","Male","M","Black or African American","2054-5",19,80698,Unreliable
,"25-29 years","25-29","2000","2000","Male","M","White","2106-3",101,501861,20.1
,"25-29 years","25-29","2001","2001","Female","F","White","2106-3",21,452882,4.6
,"25-29 years","25-29","2001","2001","Male","M","White","2106-3",94,478598,19.6
,"25-29 years","25-29","2002","2002","Female","F","White","2106-3",26,443804,5.9
,"25-29 years","25-29","2002","2002","Male","M","Black or African American","2054-5",21,75667,27.8
,"25-29 years","25-29","2002","2002","Male","M","White","2106-3",97,468589,20.7
,"25-29 years","25-29","2003","2003","Female","F","White","2106-3",28,443886,6.3
,"25-29 years","25-29","2003","2003","Male","M","Black or African American","2054-5",15,75125,Unreliable
,"25-29 years","25-29","2003","2003","Male","M","White","2106-3",99,465259,21.3
,"25-29 years","25-29","2004","2004","Female","F","White","2106-3",18,451987,Unreliable
,"25-29 years","25-29","2004","2004","Male","M","Black or African American","2054-5",11,76455,Unreliable
,"25-29 years","25-29","2004","2004","Male","M","White","2106-3",91,471896,19.3
,"25-29 years","25-29","2005","2005","Female","F","White","2106-3",26,460650,5.6
,"25-29 years","25-29","2005","2005","Male","M","Black or African American","2054-5",16,77880,Unreliable
